Title,Description,Source URL,Price,Currency,Image URL,Size and Fit,Details,Relevance Score
HELMUT LANG,Padded cotton-twill jacket,https://www.theoutnet.com/en-us/shop/product/helmut-lang/jackets/casual-jackets/padded-cotton-twill-jacket/1647597286311628,237,USD,https://www.theoutnet.com/variants/images/1647597286311628/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Jacket
Cotton-twill
Padded
Snap-fastening cuffs
Two front welt pockets
Two chest pockets
Snap fastenings through front
Synthetic filling
Mid-weight, non-stretchy fabric
Dry clean
Imported
100% Cotton",0.7
HOLDEN,Checked brushed-felt down jacket,https://www.theoutnet.com/en-us/shop/product/holden/jackets/down-jackets/checked-brushed-felt-down-jacket/1647597321078216,285,USD,https://www.theoutnet.com/variants/images/1647597321078216/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a slightly loose fit
Fits true to size, take your normal size
Size Guide","Jacket
Checked
Brushed-felt
Knitted trims
Two front flap pockets
Zip pockets
Zip fastening through front
Duck down and feather filling
Non-stretchy fabric
Mid-weight fabric
Hand wash
Imported
74% Polyester 13% Acrylic 13% Virgin Wool",0.3
ALEX MILL,Denim jacket,https://www.theoutnet.com/en-us/shop/product/alex-mill/jackets/casual-jackets/denim-jacket/1647597344531486,110,USD,https://www.theoutnet.com/variants/images/1647597344531486/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Jacket
Denim
Half-belt
Chest pockets
Two front slant pockets
Button fastenings through front
Mid-weight, non-stretchy fabric
Machine wash
Imported
100% Cotton",0.5
DOLCE&GABBANA,Appliquéd striped tech-jersey jacket,https://www.theoutnet.com/en-us/shop/product/dolcegabbana/jackets/casual-jackets/appliqued-striped-tech-jersey-jacket/1647597335182924,524,USD,https://www.theoutnet.com/variants/images/1647597335182924/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Jacket
Striped
Tech-jersey
Knitted
Appliquéd
Two front welt pockets
Zip fastening through front
Mesh lining
Non-stretchy fabric
Mid-weight fabric
Dry clean
Made in Italy
65% Viscose 30% Polyamide 5% Elastane",0.8
Y-3,Two-tone logo-print shell zip-up track jacket,https://www.theoutnet.com/en-us/shop/product/y-3/activewear/active-jackets/two-tone-logo-print-shell-zip-up-track-jacket/1647597331163678,90,USD,https://www.theoutnet.com/variants/images/1647597331163678/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Oversized, designed for a loose fit
Fits true to size, take your normal size
Size Guide","Track jacket
Two-tone
Shell
Mesh trims
Elasticated cuffs
Zip pockets
Concealed zip fastening along front
Non-stretchy fabric
Machine wash
Imported
100% Polyamide",0.2
MISSONI,Printed twill-paneled shell track jacket,https://www.theoutnet.com/en-us/shop/product/missoni/activewear/active-jackets/printed-twill-paneled-shell-track-jacket/1647597342348365,338,USD,https://www.theoutnet.com/variants/images/1647597342348365/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Track jacket
Shell
Twill
Paneled
Embroidered logo
Elasticated cuffs
Two front slit pockets
Zip fastening through front
Fully lined
Elasticated hem
Machine wash or dry clean
Made in Italy
100% Polyamide",0.2
FUSALP,Omaley hooded ski jacket,https://www.theoutnet.com/en-us/shop/product/fusalp/activewear/skiwear/omaley-hooded-ski-jacket/1647597355782054,491,USD,https://www.theoutnet.com/variants/images/1647597355782054/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an FR 42
Designed for a slightly loose fit
Fits true to size, take your normal size
Size Guide","Ski jacket
Shell
Hooded
Zip-fastening vents
Thumbhole cuffs
Zip pockets
Ski pass-pocket
Zip fastening through front
Sorona® DuPont filling
Drawstring hem
Mid-weight, non-stretchy fabric
Machine wash
Imported
Your new favorite ski gear is found. Time to hit the slopes
72% Polyester 28% Polyurethane",0.2
FUSALP,Fernand quilted striped ski jacket,https://www.theoutnet.com/en-us/shop/product/fusalp/activewear/skiwear/fernand-quilted-striped-ski-jacket/1647597329463637,450,USD,https://www.theoutnet.com/variants/images/1647597329463637/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an FR 42
Designed for a slim fit
Fits true to size, take your normal size
Size Guide","Ski jacket
Striped
Shell
Quilted
Concealed hood
Detachable snow skirt
Zip-fastening vents
Thumbhole cuffs
Zip pockets
Ski pass-pocket
Zip fastening through front
Sorona® Aura Insulation
Mid-weight, non-stretchy fabric
Machine wash
Imported
Your new favorite ski gear is found. Time to hit the slopes
85% Polyester 15% Polyurethane",0.1
RAG & BONE,365 cotton-poplin blazer,https://www.theoutnet.com/en-us/shop/product/rag-bone/jackets/blazers/365-cotton-poplin-blazer/1647597335174772,149,USD,https://www.theoutnet.com/variants/images/1647597335174772/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Blazer
Cotton-poplin
Snap-fastening cuffs
Two front welt pockets
Chest pocket
Snap fastenings along front
Back vent
Non-stretchy fabric
Lightweight fabric
Machine wash
Imported
100% Cotton",0.8
DOLCE&GABBANA,Printed shell bomber jacket,https://www.theoutnet.com/en-us/shop/product/dolcegabbana/jackets/casual-jackets/printed-shell-bomber-jacket/1647597336076071,614,USD,https://www.theoutnet.com/variants/images/1647597336076071/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Bomber jacket
Printed
Shell
Knitted trims
Zip pockets
Internal pocket
Zip fastening through front
Fully lined
Mid-weight, non-stretchy fabric
Dry clean
Made in Italy
100% Polyester",0.6
VERSACE JEANS COUTURE,Reversible appliquéd shell bomber jacket,https://www.theoutnet.com/en-us/shop/product/versace-jeans-couture/jackets/casual-jackets/reversible-appliqued-shell-bomber-jacket/1647597339456573,325,USD,https://www.theoutnet.com/variants/images/1647597339456573/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Bomber jacket
Printed
Shell
Appliquéd
Knitted trims
Reversible
Zip fastening through front
Fully lined
Mid-weight, non-stretchy fabric
Dry clean
Imported
100% Polyester",0.7
FUSALP,Lorenzo wool-blend and quilted shell hooded jacket,https://www.theoutnet.com/en-us/shop/product/fusalp/activewear/active-jackets/lorenzo-wool-blend-and-quilted-shell-hooded-jacket/1647597355785889,396,USD,https://www.theoutnet.com/variants/images/1647597355785889/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a slightly loose fit
Fits true to size, take your normal size
Size Guide","Jacket
Shell
Wool-blend
Quilted
Paneled
Drawstring hood
Zip pockets
Zip fastening through front
Sorona® DuPont filling
Mid-weight, non-stretchy fabric
Machine wash or dry clean
Imported
85% Polyamide 15% Elastane",0.6
SANDRO,Slim-fit wool blazer,https://www.theoutnet.com/en-us/shop/product/sandro/jackets/blazers/slim-fit-wool-blazer/1647597336549830,209,USD,https://www.theoutnet.com/variants/images/1647597336549830/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Blazer
Wool
Notch lapels
Buttoned cuffs
Chest pocket
Two side flap pockets
Button fastenings through front
Fully lined
Back vent
Non-stretchy fabric
Mid-weight fabric
Dry clean
Imported
100% Wool",0.7
DOLCE&GABBANA,Wool blazer,https://www.theoutnet.com/en-us/shop/product/dolcegabbana/jackets/blazers/wool-blazer/1647597335988416,974,USD,https://www.theoutnet.com/variants/images/1647597335988416/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Blazer
Wool
Detachable vest
Buttoned cuffs
Chest pocket
Two front flap pockets
Button fastenings through front
Fully lined
Back vent
Non-stretchy fabric
Mid-weight fabric
Dry clean
Made in Italy
100% Virgin Wool",0.9
RAG & BONE,Shift cotton-poplin blazer,https://www.theoutnet.com/en-us/shop/product/rag-bone/jackets/blazers/shift-cotton-poplin-blazer/1647597332188668,149,USD,https://www.theoutnet.com/variants/images/1647597332188668/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an EU 38
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Blazer
Cotton-poplin
Notch lapels
Chest pocket
Two front patch pockets
Button fastenings through front
Fully lined
Back vent
Non-stretchy fabric
Mid-weight fabric
Dry clean
Imported
100% Cotton",1.0
AZTECH MOUNTAIN,Nuke quilted hooded down ski jacket,https://www.theoutnet.com/en-us/shop/product/aztech-mountain/activewear/skiwear/nuke-quilted-hooded-down-ski-jacket/1647597322696213,495,USD,https://www.theoutnet.com/variants/images/1647597322696213/F/w1020_q80.jpg,"Model is wearing a Medium
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Ski jacket
Shell
Quilted
Detachable hood
Detachable snow skirt
Thumbhole cuffs
Zip pockets
Internal pocket
Zip fastening through front
Duck down filling
Drawstring hem
Non-stretchy fabric
Mid-weight fabric
Machine wash or dry clean
Imported
Your new favorite ski gear is found. Time to hit the slopes
90% Polyamide 10% Elastane",0.1
FUSALP,Robson IV quilted shell and scuba hooded down jacket,https://www.theoutnet.com/en-us/shop/product/fusalp/activewear/active-jackets/robson-iv-quilted-shell-and-scuba-hooded-down-jacket/1647597355787298,347,USD,https://www.theoutnet.com/variants/images/1647597355787298/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a slightly loose fit
Fits true to size, take your normal size
Size Guide","Jacket
Shell
Scuba
Quilted
Paneled
Logo-appliquéd
Drawstring hood
Zip pockets
Zip fastening through front
Down and feather filling
Mid-weight, non-stretchy fabric
Machine wash or dry clean
Imported
85% Polyamide 15% Elastane",0.4
JACQUEMUS,Pacalo cotton-blend twill blazer,https://www.theoutnet.com/en-us/shop/product/jacquemus/jackets/blazers/pacalo-cotton-blend-twill-blazer/1647597318199034,245,USD,https://www.theoutnet.com/variants/images/1647597318199034/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a boxy fit
Fits true to size, take your normal size
Size Guide","Blazer
Twill
Cotton-blend
Horn buttons
Pleated back
Notch lapels
Buttoned cuffs
Chest pocket
Button fastenings through front
Curved hem
Side slits
Non-stretchy fabric
Mid-weight fabric
Dry clean
Imported
91% Cotton 9% Polyamide 0% Horn",0.8
SANDRO,Satin-trimmed wool-blend tuxedo jacket,https://www.theoutnet.com/en-us/shop/product/sandro/jackets/blazers/satin-trimmed-wool-blend-tuxedo-jacket/1647597284893729,246,USD,https://www.theoutnet.com/variants/images/1647597284893729/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Tuxedo jacket
Wool-blend
Shoulder pads
Satin trims
Shawl lapels
Buttoned cuffs
Chest pocket
Two front welt pockets
Button fastening at front
Fully lined
Back vent
Non-stretchy fabric
Mid-weight fabric
Dry clean
Imported
83% Wool 17% Polyester",0.8
JACQUEMUS,Carozzu padded shell vest,https://www.theoutnet.com/en-us/shop/product/jacquemus/jackets/vests-and-gilets/carozzu-padded-shell-vest/1647597335997722,350,USD,https://www.theoutnet.com/variants/images/1647597335997722/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Vest
Shell
Padded
Embroidered logo
Ribbed trims
Buckled waist tabs
Two side slit pockets
Zip fastening through front
Synthetic filling
Non-stretchy fabric
Mid-weight fabric
Dry clean
Made in Italy
100% Polyamide",0.3
BURBERRY,Reversible checked quilted shell down jacket,https://www.theoutnet.com/en-us/shop/product/burberry/jackets/down-jackets/reversible-checked-quilted-shell-down-jacket/1647597342132444,"1,119",USD,https://www.theoutnet.com/variants/images/1647597342132444/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a slim fit
Fits true to size, take your normal size
Size Guide","Jacket
Checked
Shell
Quilted
Logo-appliquéd
Reversible
Elasticated cuffs
Zip pockets
Snap and concealed zip fastenings through front
Goose down and feather filling
Drawstring hem
Weighted, non-stretchy fabric
Dry clean
Imported
100% Polyamide",0.4
MARNI,Checked wool-blend tweed blazer,https://www.theoutnet.com/en-us/shop/product/marni/jackets/blazers/checked-wool-blend-tweed-blazer/1647597339401159,858,USD,https://www.theoutnet.com/variants/images/1647597339401159/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a slightly loose fit
Fits true to size, take your normal size
Size Guide","Blazer
Checked
Tweed
Wool-blend
Corduroy trims
Notch lapels
Buttoned cuffs
Chest pocket
Two front patch pockets
Button fastening at front
Fully lined
Back vent
Non-stretchy fabric
Mid-weight fabric
Dry clean
Made in Italy
80% Virgin Wool 14% Polyamide 6% Mohair wool",0.8
MARNI,Wool blazer,https://www.theoutnet.com/en-us/shop/product/marni/jackets/blazers/wool-blazer/1647597339404456,645,USD,https://www.theoutnet.com/variants/images/1647597339404456/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a regular fit
Fits true to size, take your normal size
Size Guide",Not available,0.8
MISSONI,Denim jacket,https://www.theoutnet.com/en-us/shop/product/missoni/jackets/casual-jackets/denim-jacket/1647597342312304,260,USD,https://www.theoutnet.com/variants/images/1647597342312304/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Jacket
Denim
Embroidered logo
Chest pockets
Two front slit pockets
Button fastenings through front
Elasticated hem
Mid-weight, non-stretchy fabric
Dry clean
Made in Italy
100% Cotton",0.5
FUSALP,Timo II quilted neoprene-paneled shell jacket,https://www.theoutnet.com/en-us/shop/product/fusalp/jackets/casual-jackets/timo-ii-quilted-neoprene-paneled-shell-jacket/1647597329471686,302,USD,https://www.theoutnet.com/variants/images/1647597329471686/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a slightly loose fit
Fits true to size, take your normal size
Size Guide","Jacket
Shell
Neoprene
Quilted
Paneled
Striped trims
Ribbed trims
Zip pockets
Zip fastening through front
Sorona® Aura Insulation
Partially lined
Stretchy fabric
Mid-weight fabric
Machine wash
Imported
63% Polyester 19% Lyocell 16% Polyurethane 2% Elastane",0.4
VERSACE JEANS COUTURE,Printed jersey bomber jacket,https://www.theoutnet.com/en-us/shop/product/versace-jeans-couture/jackets/casual-jackets/printed-jersey-bomber-jacket/1647597341364337,313,USD,https://www.theoutnet.com/variants/images/1647597341364337/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing a Medium
Designed for a regular fit
Fits true to size, take your normal size
Size Guide","Bomber jacket
Printed
Jersey
Zip pockets
Zip fastening through front
Mid-weight, non-stretchy fabric
Dry clean
Made in Italy
100% Polyester",0.3
JACQUEMUS,Embroidered checked crepe overshirt,https://www.theoutnet.com/en-us/shop/product/jacquemus/jackets/casual-jackets/embroidered-checked-crepe-overshirt/1647597332582575,362,USD,https://www.theoutnet.com/variants/images/1647597332582575/F/w1020_q80.jpg,"Model is 185cm/ 6'1"" and is wearing an IT 48
Designed for a loose fit
Fits true to size, take your normal size
Size Guide","Overshirt
Checked
Crepe
Embroidered logo
Buttoned cuffs
Chest pocket
Button fastenings through front
Fully lined
Side slits
Mid-weight, non-stretchy fabric
Dry clean
Imported
100% Viscose",0.5
